GFLOPs (@1GHz),Utilization,Cycles,Energy,EDP(J*cycle),Area,mac,psum_spad,weights_spad,ifmap_spad,shared_glb,DRAM,Total,Layer Number,Name,Group,Residual Block Number,Mamba Block,Layer Type,C,G,M,N,P,Q,R,S
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,011,layers_2_mixer_conv1d,layers,2.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,012,layers_2_mixer_x_proj,layers,2.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,013,layers_2_mixer_dt_proj,layers,2.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,014,layers_2_mixer_out_proj,layers,2.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,015,layers_3_mixer_in_proj,layers,3.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,016,layers_3_mixer_conv1d,layers,3.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,017,layers_3_mixer_x_proj,layers,3.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,018,layers_3_mixer_dt_proj,layers,3.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,019,layers_3_mixer_out_proj,layers,3.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,020,layers_4_mixer_in_proj,layers,4.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,021,layers_4_mixer_conv1d,layers,4.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,022,layers_4_mixer_x_proj,layers,4.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,023,layers_4_mixer_dt_proj,layers,4.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
